compra,clase
pack 3 pares calcetines,2
aero bus,5
pasaje urbano pto saav,5
hospitalizacion por túnel carpeano,4
remedio para el lumbago crónico,4
consulta médico otorrino laringólogo,4
piezas pescado jurel,0
bebida retornable,0
mantel soy luna,3
paño celulosa para limpiar,3
20 comprimidos 600 mgrs cada comprimido para dolores musculares,4
variprez varices,4
naranja manzana pera frescas,0
medicamento losartan 30 comprimidos,4
mermelada bolsa,0
jugo watts de fruta,0
par de guantes,2
jeans de cotele,2
juego loza 18 piezas,3
locomoción colectiva línea n°13a,5
remedios rux20mg 30 comp,4
camioneta chevrolet montana,5
detrgente líquido biofrescura,3
ketorolaco antiinflamatorio,4
queso fresco blanco,0
regalos botella de whiskey,1
galleta morocha bañada en chocolate,0
hurvos frescos de gallina,0
chocolate bon o bon,0
lavado vehículo estacionamiento,5
shampu y cera autos para limpieza,5
d laovalozas,3
yoghurt berries batido,0
control de braket y ajuste,4
tratamiento por implantes dentales,4
2 guantes 2 gorros de nieve,2
grande sabanas,3
celular plan 29990,6
fruta feria,0
pasaje pto montt pta arenas,5
hidroclorotiazida remedio,4
mortadela lisa,0
caja de dolgex 200 mg anti inflamatorio,4
cloro tradicional líquido,3
queuque grande,0
limpiador triple acción,3
chaleco polera mujer,2
vienesas jk cerdo,0
estacionamiento parquimetro,5
pomada dérmica dermicin b,4
mueble ropero 2 puertas,3
melones calamenos 500 cu frescos,0
set toalla,3
palta fresca a granel,0
limpiador de piso trapero,3
gasto mecanicoscambio correa alternador,5
fíat 1 13,5
pastillas poet red de baño,3
cigarros pall mall cajetilla,1
betarragas frescas paquete,0
mermelada malloa 230 ml,0
marco de fotografía,3
limpiador klenzo,3
farmacia novafem anticonceptivo inyectable,4
tratamiento para el acné remedio para acné,4
bono al doctor,4
moto marca suzuki,5
consulta dental seguimiento de tratamiento,4
par de zapatillas runner nike hombre,2
cabezas de ajo granel,0
test de hormonas estimulantes,4
urgencia josefa cuadro respiratorio,4
biopsol er,4
pasaje colectivo hospital a biociencias,5
paquete de paños multiusos,3
pasajes ida y vuelta viñasantiago,5
poleron de algodón de hombre,2
examen sangre orina perfil bioquímico,4
perejil planta,0
camisa ml ksh l hombre,2
consulta pediatrica a los 2 años y medio,4
antinflamatorio ibupirac lc,4
filtro de aceite para furgón citroen,5
colado creciditos frasco,0
abrilar jarabe 100 m,4
medicamentos tobe hormonas para tiroides,4
jeans negros hombare,2
recarga celular luis,6
pack croissan,0
geniol día en polvo,4
jamonada lisa de cerdo laminada,0
bolsa frutos secos,0
cuerda 08 mm,3
transfer ibañez coyh paseo,5
par botas larga dama,2
vasos regalo de matrimonio set,3
galleta dulce mini palmeritas 8 x 35 grs,0
bandejas 30 huevos cu,0
yogurth régimen mora,0
radiografía y ecotomografia codo,4
cajetilla grande,1
paracetamol pseudof noche 20 comprimidos resfrío,4
condimento tomillo,0
pasaje san pedro de atacama,5
tarros de jurel natural 680 cu,0
cirugía ambulatoria quiste cuello consulta médica y control posterior,4
te lider,0
plato plástico,3
camisa de mezclilla de varón,2
transfer el tepual pto montt,5
salamin ahumado artesanal,0
vino clos de pirque tetra moscatel,1
beatle niño talla 6,2
mata mosca insecticida,3
pares de zapatillas de lona de niño,2
juan esposo carga bip,5
pasajes colectivos ida vuelta centro,5
hospitalizacion pediatrica 3 noches directo de pabellón insumos examenes asociados,4
sésamo natural,0
enzsalada de choclo cocida,0
polera hombre chaleco hombre pantalón hombre,2
bebida coca fanta sprite 3 unid,0
celular entel recarga,6
tto conducto dental,4
abrillantador de pisos,3
chamyto 12 yogurt líquido c probioticos,0
calefont 6 lts,3
zapatos de bebe regalo,2
sacajugos extractor,3
caja neurobienta dúo 10000x,4
salsa de tomates 4x460,0
sabanas 2 plazas cannon,3
jarabe de saúco,4
mantel de pvc,3
combustible auto gas 95,5
cajas de fanatidina,4
frasco jarabe geniol de 100 mg resfrío,4
médica consulta,4
bolsa sisa,3
tomates coktail,0
bono matron,4
de azúcar iansa,0
servicio estacionamiento 2 horas y 8 minutos,5
lata de repelente para roedores,3
pan a granel marraqueta fresca,0
galleta cereal mix avena ciruela 115 grs,0
taxi cancha casa,5
glafornil xr resistencia a la insulina,4
vtr tv wifi fono,6
longaniza de chancho unidad,0
linaza agro,0
jamón sandwich fresco,0
zapatos de mujer para regalo,2
finartrit comp 60,4
piña entera,0
marraquetas frescas,0
chorizo llanquihue envasado,0
internet pago,6
teléfono cuenta,6
par de chalitas bebe,2
vinos sovignon,1
galleta dulce rellena con coco,0
mayonesa supreme,0
mantequilla con sal 250 grs,0
vino tinto 750 cc,1
bolsaas de hierbas,0
1 desabolladura de vehículo 1 cambio de foco trasero,5
cambio de bidon de parabrisas y cubremotor,5
queso fresco loncamilla,0
timbre forma corazón,3
pasaje bus santiago chillam,5
limpia pies piso,3
pan hallulla a granel,0
hospitalizacion obstetra clínica mujer,4
caja de te verde lifemate 200 grs,0
bom bom chocolate,0
vehículo suzuki gran vitara 2007,5
motor 200 mazda,5
sulfaguanidina 127 mg,4
par zandalias,2
tapa ciega para enchufe,3
zapatillas deportivas nike n°43 de hombre,2
secadora de ropa midea,3
bolsas súper 15,3
cajetilla de cigarrillos 20 u,1
carne para cazuela fresca,0
pasajes de placeres a valpo ida y vuelta micro,5
milticultivador agrícola,3
cama 15 plazas amercana mad,3
hervidor eléctrico batidora de inmersión,3
chip de telef carga,6
celular berry cool,6
tornillo tarugos golillas silicona,3
piascledine comprimidos renovador cartílago,4
medicamentos ristaben,4
buzo niño de algodón,2
calugas de cloro baño,3
zapatillas,2
botella especies color,3
lámpara de velador,3
zapatilla de mujer,2
cerveza de pollo,1
botella de vino syrah,1
podar árbol,3
intervención dermatológica,4
pijama mujer pantalón polera,2
sartenes ollas,3
lubricante wd40,5
lavadora automática daewo,3
examen nuclear a los 2 hombros,4
par zapatos de hombre adulto,2
azúcar light,0
cortina de mujer,3
pack almohada,3
vino 12gr botella,1
jugo polvo 35 gr,0
calzas elasticadas,2
caja capsulas de popeya enzyna,4
poleron tortug de regalo,2
bolsas de aceitunas rellenas,0
consulta dentista tapaduras y endodoncias,4
queso laminado colun,0
consultas medicas neurocirujano,4
limpia piso merkat,3
forro cortina der bañio,3
locomoción transfer,5
auto año 1999 suzuki vitara,5
bono fonasa nivel 1 urocultivo,4
eucerin syndet gel sustitutivo al javon,4
jardinera jeans dama,2
corneto helado,0
balde huevo chocolate,0
helados de agua trendy,0
polera vestidopantalones de mujer,2
trapero sirt,3
celular prepago 5000 en llamadas,6
clases de manejo,5
cambio taza de baño y lava mano cambio,3
suplemento alimentiio proteína,4
enchufe 6 amp,3
lupiton por diabetes,4
líquido para limpiar lentes,4
clonex 050 mg sist nervioso,4
de carne molida paquete,0
consulta médica neurólogo y otorrinolaringólogo,4
queso laminas gauda,0
aparato celular lg cplan9,6
remedio moringa,4
caja de bisoltrol comprimidos remedio para la presión,4
par guantes para trabajo,3
lipton te yellow,0
cigarros 10 unidad,1
mantequilla pan grande,0
azitrom 200 mg5ml jarabe,4
hospital ida y regreso,5
chaqueta mezclilla hombre,2
par de botines para niña,2
hemograma perfil bioquímico examen de orina,4
cigarros lucky click de 10,1
pedíatra infantil,4
remedio enalapril para la presión,4
vienesas til,0
examenes para hija,4
atún lomitos en agua en conserva,0
pares zapatillas de niña,2
te yelow label,0
médico cirujano vasculo consulta,4
paquetes de galletas dulces,0
malla para vidrios de auto,5
cera crema limpiar para superficies,3
botella vinagre de vino,0
entel pcs pago mensualidad,6
confección de vestuario,2
cecina laminas,0
bebida 25 litros,0
queque vainilla,0
limpieza chaqueta,2
agua purificada en botella,0
peaje agua amarilla,5
esponja cobre 3,3
bolsa cuchufli bañado envasado,0
bencina viaje al interior tirana,5
arroz grano largo seco,0
carne pollo ganzo fresco,0
bandeja huevos frescos de gallina 20 unidades,0
paltanos granel,0
champiñones en conserva,0
pack 4 brownie,0
mueble para el baño con espejo,3
tomate romanita 340 gr,0
consultas psicólogo,4
trataminento de infiltración rodilla,4
posta rosada fresca vacuno,0
vitaminas niñas,4
pall mall azul de 20,1
gancho de madera para ropa,3
capsulas café máquina,0
opates de ternera,0
botox facial,4
examne de orina,4
esponja spunit,3
pantalón mujer género floreado,2
trapero piuso de tela,3
aceite motor 7 lt,5
te de hierba 20 unidades,0
clorinda 6 unidades,3
farmotidina 40 mg reflujo,4
mi frut fruta en compota,0
pan hallulas especial a granel,0
pollo entero fresco granel,0
pasajes ida y vuelta en avión,5
detergente ropa liquidobotella 2 und de 19 lt cu,3
svelti leche polvo,0
consulta médico oncologo,4
tarro café nescafe,0
chirimoya sour,1
pan fresco chocoso,0
desodorante desinfectante lysoform 390 cc 2190 cu,3
postre de leche en pote,0
jeans infantil niña,2
pasaje viña santiago,5
pomelo frecso,0
mago pads virutex,3
guatero queen,4
pasaje metro desde el parrón cumming,5
hidrocloraticida 1 caja diurético,4
esponjas para lavar loza,3
carxcasa por celular smarphone huawei,6
chequeo médico completo,4
recuerdos y souvenirs especifique cuadros copas llaveros,3
trozo de carne malaya de cerdo envasada,0
pasaje interurbano stgoviña,5
vino blanco santa helena caja,1
interruptor simple,3
jabón popeye pan 300 cu,3
remedio insulina actrapid solución inyectable,4
jarabe antihsitaminico desloratadina,4
parka infantil cgorro,2
blusas dama 4000 cu,2
yerbas medicinal,4
bolsa para basura 70x90,3
leche soprole descremada c,0
plumilla limpia parabrisas,5
beroducal fco 20 ml remedio,4
compra vasos chicos,3
vestido fiesta niña,2
prueba de ilegible,4
hidroclorotiazida para hipertensión,4
sombrero huaso niño,2
ampolleta bajo consumo,3
jamón pollo laminado a granel,0
pasaje tiltilsantiago,5
foco para auto,5
agua mas ssabor,0
lava platos lava loza,3
celular con plan huawei,6
juego de vasos vidrio,3
mantención completa afinamiento y arreglo de bujias e inyectore panas en general,5
corta fiambre,3
hervidor h 300,3
pasaje a troncos viejos de viña,5
hospitalizacion por embarazo,4
caja cerreal fitness salvado,0
nova nova para cocina,3
3 cajas clonazepam 2 mg depresión insomnio,4
cloro gel 1 lts,3
calcetas de hilo mujer,2
bono de médico examen,4
delantal de mujer,2
cheetos envasado,0
cigarro 10 unidades,1
aceite auto bidon,5
bono por tratamiento dental hija,4
pajaritos masa dulce cubierta de crema,0
yogurt batido sabores,0
lavadora quix limón,3
filtro de vehículo,5
zapatillas hombre adidas supernova,2
examen completo sangre orinaeco transvaginal,4
zapatilla hombre josúe 17 años,2
ácido muriatrico,3
consulta cardiologica infantil,4
jarabe para la tos broncatox 2,4
propolgea caramelo de mielpropoleo,4
pasaje trasnporte colectivo,5
otorrinolaringólogo consulta,4
boddy para bebe,2
radiografía dental completa,4
camas americanas 1 12,3
pechugas de pollo congelado,0
mecánico materiales mano de obra,5
sartén de freír,3
bono médico general diabetes,4
calcetas niña color blanco talla 8,2
pares de calzones adulto,2
atún jumbo 130 gr,0
leche descremada surlat,0
silla para bebe de comer,3
furgón 2da mano,5
virux hepatitis anticuerpo,4
arreglo de neumático,5
consulta médica geriatrica domicilio,4
pasaje en bus de potosí a osuro,5
poleron deportivo de varón,2
toalla nova pack de 3,3
otros lavado de vehículo,5
caja te hierba roja,0
espirales secos paquete,0
ketchup 250 grs,0
escritorio y silla,3
paquete cochayuyo seco,0
zapatillas de voleyball equipo universidad santo tomas,2
vino exportaciones,1
cigarros bellmont ligh,1
botellas pisco sours,1
jeringa 5 ml agua 40 x 0,4
vitaminas bion 3 y magnesio,4
sartén huevos teflon,3
agua soda 6x 15 lt,0
bebida bilz 2 lts,0
silicona vainilla,5
smartphone mas plan,6
bebidas gaseosas 2 lt,0
par bucaneras botas mujer,2
traje niño smoking,2
rinso matic flor 200 grs,3
dulce preparado con relleno,0
1 mantequilla con sal pan,0
fresco de pastillas antidepresivos,4
pasta al huevo con chiglie,0
ele triptan tratamiento para migraña,4
pasaje de autobus,5
frascos de gotas de oro tratamiento naturista para tratar la ciática,4
moto vespa,5
poleras barón,2
zapatilla dama de lona,2
azúcar bolsa iansa,0
tenedor plástico,3
bolsa marshmallow color,0
aceitunas naturales,0
filetitos de pollo a granel,0
oct pupila glaucoma,4
cif crema limpiador,3
vino bco,1
pack jugos néctar livean piña,0
calzas corta blancas,2
cloro impeke limón líquido,3
micro tarifa adulto padre las casas centropadre las casas ida y vuelta,5
radiografía de proyecciones especiales,4
velas ángel,3
crema líquida,0
pantalón de buzo niña,2
medicina homeopática para discopatia lumbar tendinitis chamomilla medicamento homeopático,4
lamapara chica,3
alfombra 150x220,3
ablandador lavavajillas sal regeneradora,3
vino souvignon cabernet en botella,1
examen orina riñones,4
pasaje viña playa ancha,5
tomates ferscos,0
toalla nova multiuso desechable,3
secadora fensa 7 kilos,3
paquete magdalena 9 cu,0
líquido limpia vidrios auto,5
cajetilla pall mall x 10,1
paasje stgo peñaflor,5
escobillón de aseo,3
paños de aseo multiuso,3
servilletas paquete 50 und,3
coctel sour en botella,1
licor de limón gen,1
pantufla niño 2227,2
pack crema para coceduras,4
bolsa de ensaladas,0
panes granel corriente surtido,0
platos baquelita para picnic,3
pastilla cloro aroma para wc,3
paquete de cebollas 3 unidades,0
mortadela de jamón,0
eutirox 50 mcg tiroides,4
jugo bombillin piña,0
cajetilla de cigarros 10 unidades,1
radiografias caderas,4
examen personal clínica radiación cáncer de mamas,4
cama 15 plaza,3
bolsa reciclable,3
toalla nova 3 rollos,3
2 pantalón hombre 2 poleras hombre 1 jeans mujer 1 polera mujer,2
pasaje de bus valdivialos lagos,5
tarros leche condensada 397 grs,0
servicio de cambio frenos incluye materiales,5
recuerdos y souvenirs especifique chocolate 1 kg,0
kitadol remedio,4
reparación celular cambio pantalla,6
arreglo lentes opticos pata,4
felxible agua metálico,3
jugo en toalla andina líquido,0
bebidas 500 cc,0
paquetes de vienesas 5 unidades,0
virutilla de olla finas,3
panceta de pavo,0
clorinda mediana,3
vacunas inlfuenza,4
remedio concerta para déficit atencional,4
6 ampolleta ecocla 75 w eléctrica,3
fiambre arrollado liso laminado granel,0
1 caja losartan x 30 pastillas para controlar presión,4
chaqueta india de mujer,2
paquete galletas de vainilla dulce,0
reparación radeador,5
heel engystol antiviral,4
movilización bus,5
regatones ropes de goma,3
batería de examenes de sangre,4
botas de niña,2
taxi colectivo traslado,5
pasaje rancaguaconcepcionida y vueltavisita a familiares,5
gorro de lana para mujer,2
arroz tradicional,0
pulpa mango,0
conservadora alimentos,3
traslado bus aeropuerto,5
iliadin descongestivo nasal,4
duplicado licencia de conducir,5
calcetas largas mujer,2
20 bidones agua purificada de 5 lts cu 1000 cu,0
pago encomienda tur bus,6
2 bisopril anticoagulante,4
pan rústico,0
consulta médico pedíatra bonos,4
jamón pierna al vacio,0
soporte ducha repuesto,3
mentita caramelo,0
crema facial dermatológica,4
oftalmólogo ranovacion lentes contacto,4
pack body ropa bebe,2
pilas duracell alcalinas,3
depurol 150 mg,4
ampolletas led auto,5
gelatina piña 100 gr en polvo,0
cambio de repuestos automóvil,5
poleras varón 1 short,2
huevos grande color,0
mantel engineer 150x25,3
zapatillos niño par,2
marco foto 15x20,3
pasajes aereos pta arenas pta arenas,5
cajas loperamida,4
1 1 yoghurt con cereal,0
falda windsor t12 niña colegio particular,2
paquete de uno al día sabor manzana,0
molde silicona,3
chaqueta nujer adulto,2
pasaje chiguayante a talcamavida,5
arom vainilla,3
lysoform desinfectante spray,3
limpiador de piso 900 ml,3
difusor aromático set amarillo,3
toalla papel clásica,3
pasaje san vicente visita familiar,5
set de examenes completos sangre orina insulina y otros bono médico,4
compra celular con plan boleta pegada,6
traslado barco catamar,5
pte bolsas de basura,3
vertido formal ash ropa trabajo boleta,2
remedios varios resfrío,4
hora médico,4
detergente lavaloza líquido,3
yoguhr batido,0
visita diabetologa consulta médica,4
medicamento para los nervios gotas armonyl,4
pasajes de locomoción ida y vuelta micro coqb serena,5
trutro pollo a granel,0
granola cereal,0
cervezas de litro retornable,1
poleron hombre talla l,2
lavalozas máxima,3
desodorante ambiental 480 ml,3
pasaje micro n°307 reñacaconcon,5
operación ambulatoria a la vista todo incluido insumos,4
taxi aeropuerto traslado,5
polera de colegio niño,2
aislada,4
zapatilals de mujer,2
croquetas de pollo 5x1000,0
jamón de pavo laminado granel,0
servilletas blancas,3
café en taroo,0
queque relleno rayita,0
tratamiento en pastillas médico para la próstata,4
pasaje autobus la serena recorrido av balmaceda,5
reparación ruedas pinchadas,5
agua purificada sin gas 1 12 lt x 12,0
poroto tórtola martini,0
pasaje serenaovalle,5
operación por hernia,4
vacuno huachalomo,0
par guantes multiuso cocina,3
examen prostático transrectal biopsia,4
pan coliza corriente,0
reparación bicicleta,5
postura de frenillo,4
jamón pechuga sp,0
fuente cuadrada vidrio 330 cc,3
galletas dulces con chispas de chocolate,0
pago de plan de celular,6
fideos secos trigo,0
coca cola zero desechable,0
radiografía del pulmón,4
par calcetines hombre niño,2
mantención porque informante no tiene desgloce,5
limpiador líquido cocina,3
doy pack lobos sal cocina,0
petróleo diesel minibus,5
arroz grado 2 tucapel graneado,0
aceita vegetal,0
trutro pollo fr 1 kg 1490,0
pasaje hospicio iqq,5
sillón 2 cuerpos,3
longaniza light envasada,0
lentes de construcción,3
camaras de rueda de bicicleta,5
recuerdos y souvenirs especifique figuras medellin,3
yogurt griego danone frutilla,0
pan batido fresco granel,0
mantel plástico mesa,3
gas limón ze,0
pisco de 35 grados,1
arreglo camioneta,5
consultas medicas medicina general,4
ovillo de lana 100 gramos,2
vehículo sub hyundai sense,5
petróleo carga,5
cedbollas frescas,0
leche entero líquido,0
loratidina 10 mg,4
limpiapisos lavanda líquido,3
bencina auto 95 sin plomo,5
conserva tarro durazno mitades,0
boxer talla m,2
taxi vuelta consultorio,5
traumatologo urgencia,4
queso laminado vacio gauda 150 grs,0
espejo de pared,3
protección borde auto,5
consultas cirujano vascular,4
barras de cereal trix,0
pasajes urbano escolar,5
día cama hospitalizacion 2 dias,4
cigarrillos kent 8 blue cajetilla,1
otros estacionamientos,5
galletas diet,0
carga de tarjeta metro,5
camas de 1 plaza,3
cecina de cerdo mortadela laminada a granel,0
bowls cerámica verde,3
caja de cereal de avena y flakes,0
arreglo de vehículo se tapo un filtro,5
detergente en polvo rinso fragancia,3
taxi caro al centro,5
dulce de membrillo casero,0
gotas lubricantes,4
pasaje ida viña del mar,5
moldes desechables para cupcakes,3
taxi cabify,5
reparación completa camioneta para la venta,5
cucharita para te,3
clavos corriente 4x8,3
caja glibenclamida diabetes,4
bebidas 2 litros gaseosa,0
jamón sandwich laminado a granel,0
pastas secas talalrines,0
galleta mini limón dulce sin crema,0
pasaje microbus escolar,5
tortillas envasadas secas,0
linaza molida,0
lysoform limpiador líquido piso,3
vinagre don juan,0
en botella detergente,3
pasaje colectivo idavuelta trabajo,5
reparación motor vehículo,5
mano de obra pieza cambio de calefont,3
mesas para sala de estar,3
perebron jarabe 100,4
pack limpiador líquido piso,3
pechuga acaramelada de pollo envasado,0
fideos secos abarrotes,0
gastos para alergia contex botella,4
plato plástico 17 cm blanco 20 cu,3
pasteles de mil hojas con manjar,0
ensaladera de plástico,3
losartan medicamento para hipertensión,4
lavalozas de limón envase plástico,3
remedio bioxantin,4
yogurt tradicional,0
limpiador clorox baño de 500 ml cu,3
bono psiquiatría,4
pasaje a puerto montt,5
ravioles seco trigo,0
paracetamol en sobres cajas,4
estacionar duble almeida,5
nasonex puff inhalador nasal,4
bicarbonato de sodio 200 grs descuento 115 pesos,4
limpieza de abrigo,2
agua mineral csabor pera,0
te bolsita ceylan premin,0
2 cajas tensoliv medicamento colon 30 pastillas,4
tapsin remedio resfrío sobre,4
tarro café decafeinado,0
examen 8ecotomografia,4
plato de pan servilleta juego de loza,3
zapatos 1 par cuero hombre adulto,2
pan dobladas corriente fresco a granel,0
caja bagomigral,4
examen mamografia sangre papanicolau orina,4
culata para auto sedan hundai,5
esponja para aseo,3
paño para pisos,3
fuente chica,3
galleta kuky capuccino dulces,0
locomoción nana,3
examen ecografia pelviva,4
galletas crack cocktail,0
fco mango,0
mantequilla de pan,0
2 chalecos 1 polera manga larga bebe,2
boleto,5
20 cigarrillos belmont blanco,1
pala virutex escobillón,3
gomitas envasadas para comer,0
cigarro kenttube silver,1
leche pollo,0
mini batidora,3
botas mujer zapatos hombre,2
pasajes de bus,5
caja de trioval medicamento resfrío,4
delicias frambuesa,0
galleta frac rellenas clasicas,0
pasteles dulces,0
limpiador pisos líquido,3
zucaritas kellogg,0
leche frutilla,0
tocino,0
pulpa de frutilla mminuto verde congelado9,0
ensalada para llevar,0
radiografía lumbar ciática derecha,4
ensoy diabético x 400 g vainilla,0
pares de guantes adulto,2
taxi al metro,5
petróleo copec autopista,5
femenogen bajar de peso,4
aliños para cocinar,0
cambio de aceite motocicleta,5
aceite w40 lubricante de óxido,5
cirugía ambulatoria en pie,4
inmovilizador de hombro,4
viadil gotitas,4
arreglo arranque vewhiculo,5
molde de queque,3
transfer coyhaiquebalmaceda,5
bono atención médica cirugía de digestiva,4
pasaje aéreo santiagoconcepcionsantiago,5
potes plasticos desechables,3
parche dolorub antiinflamatorio,4
cortiprex 20 20 mg,4
jugo en polvo sprim manzana,0
leonisasonigh calzón modlador mujer,2
gotas para oído antibioticos,4
mamografia bilateral,4
recarga antiplan virgin,6
pasaje eropuerto stgo terminal,5
anticonceptivos inyectables novafem,4
cambo de caño combustión lenta,3
tratamiento dental endodoncia y reconstrucción,4
cigarro 2o unidades,1
examen de cálculo a la vesícula,4
coliflor congelada,0
regalo cumpleaños licores,1
paquete de cera para el piso,3
consulta pediatricas,4
antígeno prostático masculino,4
pieza repuesto,5
chaqueta jacket básica,2
hospitalizacion instalación collera oidos niña,4
pasaje colectivo iquiquehospicio,5
toyota yaris sedan,5
pasajes a punta arenas,5
remedio 8no se detalla,4
lámina protector de teléfono celular,6
micro iqqhospicio,5
pasta ave en pote cocida,0
pasaje a santiago paseo,5
danky mega helado individual,0
sal lobo,0
pasaje escolar recarga,5
salero sal de mesa,0
pasaje bus sol de elqui ida,5
uniforme escolar todo junto,2
radiografía de pelvis bebe caderas,4
caja de pastillas paracetamol 50 grs,4
pack 6 und cerveza paceña lata,1
paquete de galletas dulces gretel,0
viadil gts 5 mgml 15 ml,4
sal de fruta disfruta sabor limón 5 sobres,4
banquitos de tres patas,3
examen de resistencia a la insulina ex de sangre ex orina,4
pechuga pavo molida display,0
nastizol compuesto pediatrico,4
pasaje ida vuelta a valparaiso,5
galletas dulces sabor mantequilla bolsa 3 un de 135 grs,0
remedio adolex 10 comp,4
examen en un dedo pulgar,4
compra de jeans mujer,2
pasaje abono bus,5
dias hospitalizacion por parto normal l8,4
ibuprofeno adulto 500 mg,4
par botines cuero mujer,2
vino 120 en botella,1
pasaje en tren preferente,5
ceite vegetal,0
lavalozas 500 ml quix,3
pasaje chillan interurbano,5
telas de algodón,2
body kinono,2
trozos osobuco vacuno a granel,0
tarro café 50 grs,0
pack pizza,0
zapatillas deportivas adulto,2
pantalón huaso,2
sombrero de cañon combustible,3
aereos p arenas stgo,5
abrillantador para piso madera,3
chocolate dulce belgian,0
ciruelax pastillas,4
mantequilla 125 grs,0
antidepresivo lafaxin,4
estacionamiento hospital clínico uch,5
browimie low fat,0
bip escolar carga,5
pares de zapatillas de baby hombre,2
consulta médica oftalmológica,4
trapero dible x4,3
galleta donuts chocolate,0
servicio revisión y reparación de calefont,3
pasaje vuelta stgo quilpue,5
zapatillas niño par,2
consultaa médico pedíatra,4
soporte para carga y equipaje cúpula,5
corbata de vestir varón adulto,2
bebida 500 ml gaseosa,0
auto mazda legacy usado,5
pasaje bus urbsno,5
vaso agua pared hotwheel tpac,3
pn hallulla a granel,0
buzo entero niño poleron pantalón,2
radiografía a rodillas,4
articulos de cumpleaños incluye cubiertos platos manteles vasos cucharas cuchillos tenedores etc,3
par zapatos mujer de fiesta,2
cervezas pack x 6,1
consulta ginecólogo toma de examen mamografia pap,4
choclo granel envasado,0
scanner cráneo,4
ketorolaco ampolla 2 und de 30 mg cu,4
coctel cola de mono botella,1
pasaje bus valdivia concepción,5
arreglo horno,3
pago por servicio paramedico,4
examen de orina completa,4
locomoción ida y vuelta colectivo,5
carne vacuno chuleta,0
pedíatra infantil,4
enteritos niña,2
galletas donuts glaseadas sin relleno,0
pastilla anticonceptiva femelle,4
radiador,5
pastillas florippass,4
batería para recarga,6
aromatizador automático ambiente,3
pasaje colectivo taxi,5
boleto microbus al centro de talca,5
caja de remedios preparados para dormir,4
estirena 50 gr hormonas,4
recuerdos y souvenirs especifique adornos de cerámica,3
hospitalizacion alta médica parto,4
electro cardiograma mujer,4
compra fruta surtida naranja plátano manzana mandarina membrillo tuna,0
pantalones nuevos 3 de niña 3 de niño,2
pack telvisor,3
insulina lantus,4
9 dias hospitalizado,4
rolls crispy,0
cecinas a granel,0
hervidor black becker,3
jamón acaramelado granel,0
rectificación motor repuestos camioneta 4x4,5
capatos 16 horas,2
recarga celular móvil,6
bol parrillero,3
género poliester 1 solo tono,2
paquete salchichas envasada,0
examen completos hormonas orina sangre,4
recuerdos y souvenirs especifique palafitos madera frascos adornos,3
de pan granel fresca,0
cerveza 45°,1
segundo revisión técnica,5
jugos de frutilla en polvo,0
llanta f3c,5
locomoción pasajes microbus estudiante san nicolas,5
vodka clásico,1
leucocitos fecales,4
endoscopia gástrica y colon,4
zapato mujer y chalas,2
coca cola 25 lt gaseosa,0
ecotomografias de mamas,4
filtro de motor,5
hierroacido folico para embarazo,4
caja bladuril 200 mg antiespasmódico urinario,4
farmacia lagrimas artificiales,4
mini medias,2
consulta traumatologia dulta,4
pan dobladitas especial,0
cambio de alrma,5
botella de vidrio,3
servicio de cambio de aceite filtro incluido,5
molde pan blanco,0
lava loza quix,3
ecografia al pie,4
leche nido instantánea,0
helado casata piña,0
lentes de seguridad,3
pasaje micro t blancas,5
alcohol desnaturilizado,4
traje hombre terno,2
vino blanco tocornal caja,1
servicio reparación neumático,5
cholgas secas,0
zapatillas de niña pares,2
limpiapisos líquido poett en botella,3
queso de vaca mantecoso,0
pack de calcetas 3 und cu,2
bono de tención médica,4
sartén con tapa,3
pizza carne,0
hermético omega pote,3
pasaje viña local,5
leche en línea,0
jamón la preferida envasado,0
carne molida fresca vacuno,0
amarras plasticas negras,3
compra de colchón,3
medicamento artritis,4
microondas tabla 12,3
callampas seleccionadas en conserva,0
carne cerdo abastero,0
reparación frenos delanteros,5
crazy flocos helado postre,0
luz a fricción,3
blusas negro,2
paquete toalla papel favorita 3 und,3
carga bencina 95 octanos,5
pasajes colectivo a hospital,5
pasaje escolar valpo,5
lomo vetado cerdo,0
pasajes locomoción a valpso ida y vuelta,5
espumador acero utensilio de cocina,3
servicios radiotaxi idavuelta al trabajo,5
pantalón hombre formal,2
combustible 95 octano,5
micro viaje ida,5
mermelada de frambuesa,0
bus pasajes,5
yoghurt tradicional con probioticos,0
foco intermitente moto,5
fexurix 40 mg,4
disgren aas aspirina circulación de la sangre,4
dispensador acrilico comida,3
jarabe para la tos 100 ml,4
esponja bronce,3
examen de sangre vhs hemograma,4
medicamento atenolol para la buena circulación de la sangre de 100 mg,4
cigarro 20 cigarros,1
limonada crevet 4 gr antigripal,4
polvos de hornear imperial,0
teléfono celular sin plan smartphone con 10000 en llamadas,6
pasaje estudiante microbus a san nicolas,5
pollo fresco trozos,0
pasajes locomoción celectiva,5
carne vacuno osobuco,0
bolsa marshmallows,0
1 bote adorno,3
cajas jugos néctar yuz,0
salchichón cerveza laminado envasado,0
panael viral para detectar influenza,4
eutirox 1 caja remedio para tiroides,4
guantes de goma para la cocina,3
botas de agua niña,2
palmitos en rodajas,0
café nescafe,0
consulta atención ambulatoria,4
bolsa facilita,3
cajetilla de gigarros 20 unidades,1
poleron de hombre adulto,2
lavalozas 1 botella líquida,3
reparación ajuste completo,5
botella energizante,0
