content,polarity
Lo único malo de Death Note es que dura muy poco. ,N
"@FemiHard_ Hmm no sé qué decirte, mientras no dejes la jaula abierta no pasa nada  Pero se recomienda que salgan un ratito al día +",NEU
@Sr_Merlusa @Mariiiiaperez @abrilnapilotti como se nota merlu que hace tiemp oque no te junta conmigoooooooo ,N
"No me refiero a vehiculos, me refiero a telefericos para llegar rapido a x zonas de vuestra (esperemos) gran base ",NEU
mi hermana kylie la vasca como la echo de menos ,N
"No, solo quiero bailarte la medusa loca en privado  @GuiasTacticasES",P
"@denisfmendez @anordestado @Cascarelo @GzWika Ponferrada, ya no soy gallego ",NONE
@vodafone_es ha aceptado reembolsarme la cobertura marítima de la que no me advirtió en su momento. Estoy contenta. Me parece justo. ,P
Ayay quiero grrabar un trocito de Drown con el ukelele porque tiene que quedar preciosa. Pero tengo la voz fatal ,N
bueno bueno bueno voy a hacer el sprite del primer lider de gimnasio de mi fan made ,P
"@Antonioortzb @lavuelta @luisangelmate Ojú, que envidia más mala me ha dado!!. Disfruta. Aún me duelen las piernas ¡¡que buena estaba!! ",P
"@SonrisaChocolat gracias niñuca es preciosa, te prometo que me has alegrado la tarde con este detalle tan Bello y enternecedor. Mil besos ",P
@AGMelendez_ pues si. Pero por lo menos podrían ser actores  puestos a hacer el paripe. Que sean profesionales ,N
"@tenistachanel de aquí haciéndolo ""conservadora"" sale una @50 seguro.  a ver como montamos! Thanks por las ideas!",P
"@voicesyntex soy como ese medio demonio que es marginado por los demonios, pero también por los humanos ",N
@Najeraa13 creo que soy la única que pringa trabajando todo el verano y todo septiembre ,N
Queréis que os ponga stream en 10 minutos con el McCree de mi equipo será un stream cortito de 2 horas ^^,NONE
@RadicaIizate @pvaya pero... Ella... No es verde!!!! Aunque ahora que lo dices... Es muy... Eh... ,NONE
31 AGOSTO DÍA INTERNACIONAL DE LA SOLIDARIDAD Porque la solidaridad comienza con una sonrisa   ¡Feliz día! https://t.co/XClh0GSjeG,P
"Vamos @ArvenLoL, dales duro como tú sabes  #LoLHonor2",NEU
@miradadelaluna @FinisimaPersona lo vi antes y pensé que era brom si yo fuera mejicano lo construía delante de Tejas  o más. Saludos.,N
"@fredo_gf Hola, lamentamos leer esto  Por favor, danos todos los detalles en cliente@hyundai.es y te atenderemos lo antes posible. Salu2",N
"Terapia de #FirstDates112 si el panorama está así es normal que siga soltera, el problema no soy yo. Me siento mejor ",P
Estoy muerto de hambre pero no puedo hacerme la cena todavía porque está mi compañero de piso cenando y no quiero cenar con él ,N
@VAMPYRES_movie @butfilmfestival uno de nuestros festivales favoritos!! Hemos ido dos veces ,P
@PortalSB_UDLog @CDLaredo @CyDLeonesa estos por lo menos han visto 4 goles ,NEU
@angybir @BrujulaOndaCero Gracias! Horarios un poco distintos pero ahí estamos ,P
@harleyftprego me gustaría poder ir y abrazarte para que te sientas mejor ,P
@Jonbarandica ha sido un acierto muy grande el de anoche ,P
"@Ciudadano014 ¡los médicos siempre te dicen cosas horribles, citizen! ",N
@mamiauryner1 espero sobretodo tenerla con mi niño  jajajaja. gracias guapa,P
@Omr_dh Tranquilo Omar yo te sigo ahora ,P
@Nerea_RMCF93 @OjeraFarlopera_ @aaron_np que guay no? Pobres nosotros simples mortales que no sabemos nada de la vida ,N
Me parece q en esta edicion blogs @iAgua la 4a posicion será la + reñida @hidrojing @jcponline @MarinaArnaldosO https://t.co/8HLHYxOX55,NEU
@jorgegarzon_  una ruta ideal para disfrutar en familia de los @VallesPasiegos ,P
"@SrMussel  yo el cinco termino los exámenes, tu dime un día y si quieres nos vemos en Murcia o en tu pueblo ",NONE
@JuapochoHH sorry not sorry  pd quedamos en medievales?,NONE
"El Temor de un Hombre Sabio, la saga Millenium, Canción de Hielo y Fuego, y un largo etc ",NONE
"@wikkedchild lo veo más que jodido, pero la esperanza nunca se pierde. ",N
@vacasueca también que no parezca pulsera de reo eran deberes pendientes  Pero qué menos que 7-10 días ,NONE
@ChanqueteFest porq si no es posible ir con ellos necesito encontrar otro alojamiento por mi cuenta. ¿Podríais contestar por favor? Thks ,NONE
@tenistachanel por eso lo he puesto en comillas.....  pd la yankee ya tiene el fallo de pelocoño pues? ,N
@_xOshiro Ya no es por bonito o por feo sino porque es un animal con sentimientos tía es horrible ,N
Una etapa se cierra y comienza una nueva aventura ,P
"@alastrain El primer tuit nos llego a nosotros, por eso te preguntamos tanto  Que tengas un buen día y buena compra.",P
@josebrit sigo sin acostumbrarme a su nueva boca/dientes ,N
"@IgniLefiaSplash Una vez mi prima me besó sin previo aviso. Ese fue mi primer beso, y nunca he vuelto a tener uno ",NEU
Cuando le mandas a tu profesor algo para corregir y te lo reenvía corregido y está todo mal  solo me queda llorar,N
Estos días me encuentro muy débil... espero que se me pase pronto!!! ,N
Putada lv se me jodió la ruedecita del ratón y bueno ,N
"@Walter_Sobchak1 Por cierto Walter,genial lo d echarle las cenizas al Donie ",P
"@livingjacob tu lo tienes facil, vives al lado de madrid ",NEU
"@PsychoViolence_ voy a estar muchísimas más veces por Barcelona!!! Estos días los tengo un poco complicados para quedar, te informaré",NONE
"@senior_Esfera qué va, son tranquilas, nunca logra refutarme nada ",P
@MilfncokiesLoL @Paloma_EB el sábado o el viernes podría a lo mejor  Pero tengo que jugar durante la semana ,NONE
"Que #Rajoy no logre la #investiduraRajoy NO ES NOTICIA, lo contrario sí... Pero serán becarios los que están en prácticas ",N
@BernaRios9 @gottabebravery_ yo ya estoy arruinada con tanto verano Berni ,N
Primer día de la operación bikini 2017 superado.. I can!  #altafitdonosti #objetivospartan2017,P
"No se cuantas veces la abre escuchado, pero no me canso de hacerlo y es que suena tan bien juntos @MisElizaJane https://t.co/KVPc6WiIGU",P
"@hollagher Si lo compraste con tarjeta no tienes que hacer nada, si es en efectivo imagino que cualquier FNAC vale. ",NEU
Se qué razas están entre mis preferencias... pero va a ser muy difícil adoptar alguna de ellas ,N
@quinno_ Bajón + Ed Sheeran llorera asegurada. Me pasa ,N
@Quesadacid muchas gracias Rodrigo por compartir con nosotros su paso por la Feria del Libro de Benidorm. Esperamos que le haya encantado ,P
"Más bonito no puede ser Por cierto,me alegro mucho por la mención https://t.co/NAm5mf5Nz1",P
@arivero la web que tenías para ver los pokemon que veian tus rastreadores ya no funciona? Que llevo dos días entrando y ya no va ,N
@_Raquel97_ ¡Muchísimas gracias! Ojalá te llegue prontito y lo disfrutes un montón ,P
30 años viviendo en #Algeciras y cuando me vengo a vivir a #Sevilla es cuando pasan las cosas divertidas como un #terremoto. ,N
@ElSpeaker La vida nos lleva por caminos inextricables jajaja Me alegro de que te haya molado el programa de hoy ,P
¡¡No a las agresiones sexistas durante y después de las Fiestas!!  #Sangüesa,N
@WingedArrow_ @redskyF2 si pero es de Mario joder comprate una propia ,N
Mi corasonsito me pide a gritos Clexa fanfics pero de los bonitos profundos que te dejan llorando ,P
@Fourty35 Si mañana sigues malita te dedico una canción. (Mía no ,NEU
@johanna_196 el sábado unas risas todos juntos... A por otro año más! ,P
"@ElSpeaker Es un aspecto poco conocido del Sistema Solar, que probablemente aún haya cosas por descubrir ahí fuera ",P
"@javier_depecos Otro para ti Javier, me ha hecho mucha ilusión tu respuesta. Gracias de corazón  feliz noche.",P
"@reivajcorrado @_Jesuismarc Alguien sabrá, alguien en ese extraño lugar que es el futuro. Esto es una empresa para la humanidad ",NONE
#HappyJungkookDay #꾹이생일ㅊㅋ Galleta bonita *.* Feliz cumpleaños al mejor maknae del mundo ,P
"Chicxs nunca idealicéis demasiado a una persona, que luego os da mg en facebook y rompéis un espejo de la emoción ",N
@GamerXtraX Aun no  No tengo algunas legendarias aun ,N
Tengo tantísimo sueño que cada vez que me levanto y ando me choco con la pared en serio me siento súper gilipollas ,N
@Lugnica_ Estoy conectado y listo. Cuando quieras me le pasas. Mi AC te lo repito es 2294-6239-5875 ,NONE
"@Dalek_fan qué va  me levanté agotado, de no poder salir de la cama de las pocas fuerzas que tenía",N
"@crisasanz gracias, guapa!! menuda promoción me haces!! eres un sol ",P
"@XimoVR @gsus_77 @mediavida5 lo bueno y lo malo, ojo. Que a nosotros fijo que nos quitan alguno. ",N
Se ha ido de mi espalda y no se como ha acabado dejandome en una esquinita de mi propia cama ,N
@Lenavg3 jajajaja si si. Buscaré en Pinterest algo así  gracias,P
@noseashetero 10/10 lindo a ver si vuelves a León que se te echa de menos por aquí  quiero abrazarte ✨,P
"@aaron_np @OjeraFarlopera_ @Nerea_RMCF93 somos antifas y bebemos agua de pantanos que hizo Franco.... que pena Mira, me meo",N
@oh_gabi genial! Ahora ya mucho mejor que con las tres primeras aún así todavía hay cosas que pulir ,P
"@riley7097 En edad internacional 19, en edad coreana 20 ",NONE
@erchache2000 @Sharker es que hablo de sus correos corporativos en sus PCs ,NONE
@agarotadipanema @montano66 Yo solo cité la gran definición que dio de ellos muy pronto el artista Omar Jerez ,P
"@aaron_np @OjeraFarlopera_ @livetodie77 @Nerea_RMCF93 no tenemos para cerveza, somos pobres y sucios. No nos dejan entrar al bar ",N
@Putaqueen7 esta la página petada desde hace días ,NEU
Mingafria harrison. Si por un casual consigues ganar me pagas la noche de hoy. No te meto presión. Tu verás. ,NEU
@JL_Blanco Gracias por la información. Parece que el olor ha cesado. Ayer pasó lo mismo sobre la misma hora ,N
Hay que respetar las posturas de todo el mundo frente a las situaciones que se le presentan. Por algo no somos todos iguales ,NEU
"@marulango apuntaba en ángulo correcto a una superficie reflectora, científicamente, sí ",NONE
"@jc_pblanco ya.. se le va, pero me gustó igual  lo siento, sino.. BLME está bien adaptado o los libros de Sparks ",P
"@ViKo_LH mira hijo de puta me cago en tu puta madre JAJAJAJAJAJAJJAAJAJA ya podré ir en 2018, ya... ",N
"@AmuntValencia_ No te preocupes, pero como hay tanta mala baba en Twitter pensaba que había sido por eso ",NEU
"@YooHooKane @Stellone_Cthun eres un sinvergüenza,hay ke dormir mas,yo he dormio 6 horas (porke no tengo legion hasta hoy) ",N
Buenos días Magaluf ! @BHmallorca #BHmallorca#Magaluf #Mallorca #Island #Summer2016… https://t.co/amAnsSDaxI,P
"@MAAJ39 estate atento a nuestras redes sociales para estar informado de las fechas y sitios, y gracias por escribirnos ",NONE
"@ikutram @tocamates @CarmenAgustin , y otros que seguro se me olvidan, también os puede interesar para vuestro instituto o facultad univ. ",NONE
"""Soy @EssieSenna. Este es mi número de teléfono finlandés. Ya puedes borrar el inglés"". Y ""la abuela piensa"".. ""era una niña de 8 años"".. ",NONE
Buenos días y #felizmartes. Cuántos de vosotros llegáis al final de vuestras #vacaciones? Y cuántos las tenéis a la vuelta de la esquina? ,NONE
@escolano y és una lastima porque tiene muy buenas ideas de diseño y al no pasar por Java rinden guay...pero MicroSoft y sus cosas ,N
Nuevo trailer! #PokemonGo en minecraft! Espero que os gusten las pokecasas  os las imaginabais así por dentro? https://t.co/D2sH0op1ei,P
"@_ArtificialRed_ gracias tocaya  Pero.. es que es verdad da rabia.. ni un extremo ni otro, si hay machismo voy a ser la primera que va..",N
"@SilversunRhythm bueno, Los miserables es un libro ""pesado"" o el Silmarillion, y amo los dos, así que valdrá la pena ",P
hoy me han traído a mi perra después de seis días sin verla y está to nerviosa y más delgada ,N
dreamer para siempre  @OfficialCritika @OfficialSaik os quiero chicos quier abrazaros https://t.co/oLDFpQ0Cd9,P
@josey_dani ¡Qué pintaza! Tanto la chistorra como el lomo son productos deliciosos. Probaremos vuestra sugerencia en frío y en bocadillo ,P
"@TeoGarciaEgea @paconadal De nuevo, encantado. Y a mi tampoco me gustan esos titulares tendenciosos. Pero tampoco los opuestos  Saludos.",NEU
"@TeoGarciaEgea @paconadal Esto es un mero ej. de lo complejos que son los ecosistemas y la eutrofiz. como para reducirlos a ""Hay + peces"" ",NONE
".@donecperficiam6 ¿Me dice garrullo, llamándose Domingo? Esa es buena  @RLEGAZ @UrsulaBayer @gabrielrufian",NEU
"@davidmaeztu @notarioalcala @ahurtadobueno @josecarmelollb @LaCalledelAdios a mí como a veces me piden ""la firma escaneada en el doc""... ",NONE
"@raquel_lpz Hola Raquel. Ya avisamos que por desgracia hubo un cambio de planes y no podrán venir en 2016, estamos intentándolo para 2017 ",N
Me duele mucho la cabeza tio ,N
"@NereeSantome Nope, es respingona  De chiquitin el bullying con eso fue real.  Para bonita ya estás tú Nere ~",NEU
@flyintothestorm @SelenePetalos Mmmm yo tampoco te puedo decir nada  Supongo que lo lógico sería que lo tuvieran pero a saber,N
He capturado mi primer gimnasio en el Pokemon Go. Cierto es que es probable que no tarden ni 10 minutos en quitarmelo. Pero mola ,P
"@anayainfantil @ayuntamientoibi @BibliotecaIbi Sí, perfecto, pero mi duda es si hay límites de edad para presentarse al concurso. Gracias ",NONE
"Me hubiera encantado contaros el martirio de san Juan Bautista, que es como de peli. Con Herodes, Salomé...pero no me ha dado la vida ",N
Quiero que te fijes en mi interior pero me pongo unas tetas de talla cien y el escote más grande que haya ,N
"@lococamionero  Otra cosa es que no tuviera seguridad social, porqe no era obligatorio en su situacion. Lee, los libros no muerden ",N
"Mañana me veré las que faltan, pero la mejor de la noche no ha sido Britney vaya  Me ha decepcionado",N
"@jose97angel el canal de ""Global Talents"" suele ser rápido en subir actuaciones, valoraciones, previos, y resultados...   ",P
"Pues mi cuerpo por dinero no he ofrecido, pero mi tiempo sí. En plan, si tienes la absurda idea de quedar conmigo, pagas tú TODO. ",N
... pues no tengo exámenes en esas 2 semanas de margen. Ahora se viene la gran pregunta ¿iréis todos los que fuisteis a la MGW? ,NEU
@judithgoan porque por no cargarlo con un cable oficial me he cargado la bat y el nuevo que me llega mañana es de sony ,N
La Esteban promocionando el concierto de Estopa en Leganes...Que empiecen las bromas sin gracia sobre lo barriobajeres que somos todes ,N
"A principios de Septiembre saldrá mi nuevo tema en forma de vídeo, ya tengo ganas de que lo escuchéis! ",P
@Crisnosesae @l30n4_ @Beatrice_Val en serio? No sabía eso de ella  se me ha caído su imagen a tope,N
"Nunca vi a nadie gritar de terror ni saltar tanto en tan poco tiempo JAJAJAJAJAJAJAJAJAJAJAJAJA P no soy cruel, fue con cariño ",N
"Me dice la tía y cuanto tardarias en llegar al carrefour de hortaleza Y y pues poco, vivo en la plaza de chueca ",N
Voy a echarme una siesta que me duele la cabeza que está que me explota. Pasad una buena tarde ,NEU
@pvaya @Sailor_Tesserei @Sh3rryMH es que es una reivindicación muy de moda... Ya sabes... de gente pedante como yo ,NEU
@Nonnes78 Hola guapísima! Nos encantaría hablar contigo por dm.. se puede pasar? ,P
"estoy entre dos, pero las dos son súper caras ",N
"Si está claro, la culpa es mía ",N
"Repito, de momento NO HAY FECHA LÍMITE y las preguntas son EN EL E-MAIL no encima del vídeo ",NONE
Y en nada estará disponible vía #soundcloud mi nueva sesión con el mejor house y un rollazo flipante ,P
"Donde desde los #Over25, parte como una de las aspirantes con grandes opciones de llegar a las galas... https://t.co/IUKuoWSlE8",P
Yo ahora podría estar en mi casa de zgz viendo los premios en la tele tan ricamente l tenerlos grabados pero no ,NEU
"Quiero teñirme el pelo, pero a la vez no, y tampoco sé de qué color, solo sé que quiero hacer algo y es muy sad ",N
"Buenos días. Lunes duro de vuelta al trabajo, al calor, al metro, a los madrugones y a la rutina #BuenosDias",N
"@Mavi_Vieira perfecto!  Nada mejor que incitar a lectura. Ya me contarás que tal, es mágico. De esos para ""niños"" que no son para niños",P
Still falling for you es genial omg Aunque ver la cara de Ellie con todos los retoques botoxiles me entristece ,NEU
"@jmiguel @carrero Claro, yo quería por eso de manifiesto, hay cables chinos cojonudos. Otra cosa es que te compres el mas barato ",P
la foto que subió niall me pone triste porque quiero ser liam en esa foto además de que sale precioso ,N
en plan bonito  porque yo no,NEU
@MarinayTal Te pico mucho. Eres muy graciosa. Me río con tus chistes de kk. Me odias porque no me gusta Suicide Silence ,NEU
"@IAzek4629 lo se  pero no miraba la acc, solo miraba de vez en cuando el combo y me emocionada y nervios y shit",NEU
"@kikolo777 Pero si tú sólo comes paellas-de-verdad, japo pijo yr a  cosas desas de subir a Instagram, homrepordios ",N
He decidido empezar a procesar las fotos macro del verano https://t.co/M7NkkPI4f2 https://t.co/K0HOtoDz4c,NONE
@JCesarPL @GuidoBCor Faltaría. Pensaba en cómo se construyen los discursos y quiénes los emplean. Es un debate interesante. ,P
@manue1112 Quedan ocho meses y aún está todo por hacer. Confiemos en poder realizar el Proyecto que tenemos planteado. Paciencia ,P
"@zonammorpg Sugerenci ¿Podríais hacer un TOP (o, al menos, alguna recomendación) de los mejores MMORPGS para dispositivos móviles? ",NONE
hoy ha sido ver a un perro muerto en el anden izdo. de la autopista huelva-sevilla y entrarme toda la impotencia del mundo ,N
".@DavidCpsberga @goslum Vamos, que usted es el portavoz de 2 millones de personas. Una inmensa... minoría. ¿Le molesta la ""minorización""? ",N
@tomasin_zgz ¡Hola Tomás! ¿Habéis visto los nuevos #dinos de #TierraMagna? Es normal que haya colas antes de que comience el espectáculo ,P
"Shit se fue, voy a por un pitaso ",NONE
Algunos están Sad 24/7 Otros están Indignados 24/7 Yo estoy Cachondo 24/7,NEU
@LokiMondrak La verdad es que yo tampoco hubiese sabido reaccionar más que con violencia verbal/física hacia sus agresores o sus padres ,N
@LonelySoad mientras que no te pillen la primera semana que es cuando tienes la nariz como un payaso ,N
"@daniacal aún no, pero si estará jugable en el TGS no creo que tarde demasiado. ",P
"en serio, tenéis que verosla ya ",NEU
@LuisMartinez22_ pensba q iba a hacer @wxplosive una reflexion profunda de las q me hace a mi pero ,N
Siento el Spam. Quiero que comprendáis  y compartáis conmigo la felicidad de este momento. Espero ser el mejor Capitán de todos! ,P
"Soy a tus pies Mariano Rajoy Brey @marianorajoy,en francia no hay otros partidarios que yo aunque no tengo mi tarjeta del PP  Viva Espana!",P
@Ancar_Lol Siempre buscando algo mejor  Ahora estoy bien y cobro bien. Pero puede que vaya a una del Prat!,P
"Mi última partida jugada, con Sona support. La grandes razones para jugar Sona https://t.co/2rgmMeAFIs",P
"Tengo ganas de bronca estoy aburrido, proximo tweet abro el cajon de mierda ",N
@Aymerich97 yo solo puse las evos de eevee ,NONE
"Perdon, las dudas en Twitter a traves de #askLFI  Las ayudas #ayudasLFI es una convocatoria de ayudas, muy interesnate tambien ",P
"@JorgeUfano ¡Muchas gracias por la respuesta! Cualquier cosa, aquí estamos para lo que necesites  ¡Saludos!",P
"@VicentMoreraVCF @kennysamuerto @LoboVCF vale, pero de Rodrigo yo espero poco y Nani es una puta incógnita como va a rendir. Falta un 9 ",N
Echo de menos las sudaderas y los pantalones largos ,N
"Hoy, en las desventuras de Albert Sin agua que salga de ningún grifo en el piso. Ha decidido que no sale hasta nuevo aviso ",N
Quiero mimos. Y un zumo de naranja. Estoy enfermita ,N
"@Defconplay de hecho lo confirmo, los caminos y las casitas son las mismas ",NONE
"@Nebirous una de mis favoritas de tu galería, la luz que captaste es muy misteriosa además... me encanta! ",P
A ver sé que mido menos de 1'50 pero que NO TENGO 10 AÑOS o sea os lo digo en serio no tengo 10 años ,N
@enekoolabuenaga seguramente no podré estar online hasta mañana ,N
@Miriam_Munuera calor?! Calor?? Hoy mehe muerto de frío ,N
"@fxnoname @BETWIN__ eso no se le debe decir ni a tu peor enemigo, que cruel , nadie es peor que el caramusgo del torete ",N
Creo que alguien me ha bloqueado. Es una sensación rara porque empezaba a tenerle cariño a esa persona y no lo entiendo. Me siento mal ,N
@ragnomuelle Yo a veces hecho de menos mi pelo largo por eso mismo entre otras cosas ,N
"@EstreMaimona Hija mía ...Haces inteligente a la anormal de ""yolanda morin"".... ",N
@apr15__ seamos como seamos siempre vamos a ser criticados....la vida es asi ,N
@TartadeDurazno es lo que tiene ser un cereal ,NEU
que cansado me tenes albacete... que cansado!! sino vuelvo a rosario en verano........... ojo.,N
"Noemi duerme y yo estoy abandonada, hacedme caso ",N
"Cambiar ""El mejor sistema™"" y la educación médica en España será complicado, pero con gente como vosotros tengo fe  @dantachan @ariasemmap",P
@santizuza  vete buscandote un ayudante que sepa de medicina porque entre Digard y Riviere haras las cronicas desde la enfermeria ,N
"@monzonete Cuando me borré Twitter, jeje, esta cuenta es nueva, aunque con el mismo nick ",NONE
"@GuilleBouzon @ConPdeJulandron creo que antes de insultar una cara deberias mirarte al espejo Guille. Ah, y quien ríe último rie mejor ",N
"@dinomamut_ Buenos días! Ojalá extras todos los meses, sí ",P
Muchas gracias por este fantástico post  @conelmorrofino,P
@Sr_Zeta hola vengo de intagram  en verdad ya te seguia pero hola igualmente,P
"@Alex_Dieer ya ves eh, estaban amargados ",N
quiero hacer un video en youtube desahogándome ,N
Las horas que son y sigo sin ser capaz de ponerme a estudiar....el sueño puede conmigo ,N
"@BenitoVGC el Sabueso es muy malo, el leñador mola Quiero minero y mago de hielo ",NEU
@NoEsUnPagaro que te pasa necesitas ayuda? favea si te tienen secuestrada ,N
No me pongáis Galantis que pienso en el Arenal y lloro ,N
"""Es la crónica de un ciego y su mentira, que mil veces repetida se convertirá en verdad..."" #MN ",N
@LaLiLoLaiLoLeo !Croquetas!  A mí me gustan pelín más hechas.,N
"@JAGambero @tehubriego Porque, España, es un país, Opresor¡¡ malvado y esclavista¡... ",N
¡Hola @estrellalevante! Una pregunta? La visita a la fábrica es gratuita o hay que pagar algo? Un saludo bonicos y bonicas mios! ,NONE
Por cierto @AdvyStyles podria hablar contigo por md? Gracias ,NONE
"Yo mantendría que toby está vivo si no fuese por el tuit de keegs, por el insta de troian de hace unos días..... Esas cosas sabéis ",NONE
@micaelarusso_ me ha pasado algo similar te entiendo cariño ,NEU
A mí nunca me podrán hacer una broma porque no cojo llamadas y menos cuando son ocultas ,NONE
"Últimamente, me están siguiendo chicas con perfiles bastante subidos de tono en Instagram. ¿Para cuándo un chico decente? ",N
@anaamontull_ @IreneCarro_8 @MariloGarciaa6 con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,P
"@SigueLumen ¡Encantados y felices, un abrazo desde Plasencia! ",P
@CatedraRSC_UAH Muchas gracias!! Feliz por haber formado parte de esta edición del Master! ,P
"@manuelortegama4 se llama Wolf, es la mascota #SeSalen en apoyo a los deportistas paralímpicos Más inf https://t.co/KQl89uDr3h",NONE
@Realba74 @InterSerEd genial Rebeca !! Este era mi deseo al escribirlo. Seguiré escribiendo en esta linea práctica ,P
"Momento #emprendedores en el Congreso de los Diputados ahora mismo. Siempre se cita a las startups, no a los innovadores sociales ",N
@rubenlinoman como todo! Es un jugón! No quiero que lo fichéis. Es el peor día de mi vida ,N
"@CsCValenciana @Albert_Rivera Como mejor luchar contra la crisis, unidos o siempre enfrentados.  Lo tengo claro.",NEU
"@SnipShit_ Yo tengo un par, pero son sólo R ",NONE
Así leyendo entre líneas y el discurso de @sanchezcastejon igual vota que no a Rajoy. #InvestiduraOndaCero ,NONE
"@policia. ""Precaución amigo conductor que la senda es peligrosa...."". Lo importante es llegar. ",NONE
"@crisasanz claro, yo no digo que sea fácil... Para nada, yo llevo años intentándolo y será mi trabajo vital, pero quiero intentarlo ",P
No silencio lo que calla. Es la vida suspendida hasta que brotan las ganas de bailarla. #creatividad https://t.co/VXMZt8AVyJ,NONE
"ojalá selena se recupere pronto, no merece nada malo #GetWellSoonSelena",P
"Qué deprimente, mañana ya sepriembre. QUE SE ACABAN LAS VACACIONES!!",N
"@tooruskywalker no había casi nadie hablando del tema  (y tampoco puedo encontrar el vídeo, sad)",N
"@CelopanYT en el último vlog, al título le falta una E en la palabra ""ENTRAS"" supongo querías poner ""ENTERAS"" ",NONE
Tienes una voz bonita @cristinabosca ahora sólo tengo que aprender a diferenciarla  me gusta la voz que tienes ,P
@PitiHurtado @ecorbella A cascoporro! y karate-press a saco fijo ,NONE
"Acabo de jugar en manual a PES 2017 y dios, como cambia el juego, jugando en leyenda, en 0 de velocidad, IMPRESIONANTE #PES2017 ",P
"@Swareles, ¡muchas gracias, Carla! De momento han caído tres, así que no empieza mal el día ",P
"¡Buenos días! Aquí andamos, con el Síndrome post-Uncharted 4 Necesito jugar los 5 de golpe... Peeeero no hay tiempo ",P
"@Danlok23 si, la edad no es inconveniente para nada, es parte de mi infancia y hacia falta algo así ",P
"@thorelvasco @eloymg85 es que 16 Gb es muy poquito, sobre todo teniendo en cuenta que el 6S sube a 12 Mp y graba en 4K ",N
Hola estoy que reviento por haberme comido un box de kebab ayudadme a morir gracias ,N
@Malicnidad @El_Fantaasma ahh eso   lawliet es más de nivel 800 ya  y había uno que era todavía más alto,NONE
"Después de casi un mes entero sin él... puff, espero no echar temporadas tan largas sin verlo ",N
"Otra cosa no me quedará clara hoy,  pero con el Tiranosaurio Rex,  si tú no te mueves no te puede ver  @DinopolisTeruel",NONE
"Tambien subire el changelog a lo largo de estos dias, estaros preparados porque viene todo de golpe! ",NONE
@CelopanYT te hemos echado de menos en la fiesta fin de verano  te podrias haber ido con Ro ,N
BABY @BlasAuryn #FollowSpree. y la suerte de la semana pasada???  esto sería demasiado grande para mi.,N
"salir de trabajar, mirar un par de cosas del canal e irme al cine a ver mascotas con los amigos¡ planazo de sabado  ",P
A pesar de todo...veo sorpresa en el Bernabéu...llamadme loca ,NEU
@AraMalikian Lo hemos pasado en grande con las 4 estaciones. Una auténtica gozada para toda la familia ,P
Plan perfecto para terminar el fin de semana. @AthleticClub - @FCBarcelona_es. Después @VillarrealCF - @SevillaFC ,P
@Imanolduran @lavuelta jajaja esta vez vamos equipados!,P
Tranquilos que con el.dinero de Camacho seguro mañana empiezan las escabadoras en el Arraijanal ,P
"@PanadesPb @DenebGabe @VeuCat @Rorschargos Que @tv3 es plural?? Cuantas horas, del otro idioma oficial, emite?, No es de todos los cat? ",N
@elitron77 Tranquilo. Ya me imaginaba. Tengo planes de ir al Bernabéu para ver a la Real. Allá para finales de Enero ,P
"Con lo cual he abierto todas las ventanas y he conectado el móvil a los altavoces, a ver si ahora suena mejor ",P
"@elitron77 Bueno, yo soy de la Real, neutral total ",NEU
@Hectorfernandez @Alaves Pellegrino ha dotado al equipo una gran consistencia defensiva. Y buenos fichajes ,P
@Txemacg @antoniosanto Yo lo hice en el cole ! Fuimos a trafico un par de días a aprender a circular con bici  (Colegio público),NONE
@pichyniboss te queda bien tio! Espero que esteis todos pasando un buen verano ,P
"@pilar_diz Buenooo, claro que si y a @chefidiaz se le está pegando...Pero es estupendo. Scoop. No dejéis de verla. ",P
@OneDayOfGlory tu ventilador me mira con cara seductora. ,P
El bloqueo -en vez del mute- es en realidad una medida para reducir el ridículo para los que no saben que existe el screenshot ,NEU
"@FrayJosepho @Hienosdeorgullo @Capt_E_Navarre Más bien imposible. A no ser q se convierta al Islam, claro ",NEU
"@deibitbanon En el contrato institucional que tengo, 2GB son 9€/mes y 5GB 10€/mes. No había color   Por cierto, acabo de agotarlos O_o",NONE
"Como dice @quique_gonzalez , se escapa otro verano en un furgón blindado @salaBBK #Bilbao #QuiqueGonzález https://t.co/WeaevYCT2L",N
Enormes @alo_oficial y @LewisHamilton. Buena carrera hoy en Spa. ,P
@JAVIERCASTRO96 por supuesto amigo mí que pases buen domingo ,P
@salvaroj La experiencia en mi centro es que los docentes (en la medida de nuestras posibilidades) las llevamos a cabo habitualmente ,P
Gracias por compartir querido Pepín  @CliftJose,P
"A Piper no le gusta que robe en las casas ni a la gente, Piper se ha ido a la basura junto a albóndiga ",N
"@EvilAFM @RiotSh4rin nuestro 24 horas Solidario lo hacemos turnandonos para dormir, yo no apoyaría mucho algo tan poco salubre ",N
"@BigZetaYT @weastbrook Que yo recuerde mourinho ganó una liga,el barça dos,los dos una copa del rey y el barça se llevó una Champions ",NONE
"@ElDesmarque_VCF Pero nos falta un tio que meta gol, y el cabrón de Alcacer ya no está.  Haber ahora.",N
¿lo más gracioso? que si no defiendes/apoyas/eres activista del feminismo pues ya eres un machista opresor ,N
